Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Anger,0.051316786557435989,0.024390243902439025,0.51346327132749847
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Contempt,0.11610403656959534,0.13157894736842105,0.49226254460058716
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Disgust,0.45489382743835449,0.046153846153846156,0.70436999064225414
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Calmness,0.11250390112400055,0.11320754716981132,0.49964817697709463
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Pride,0.12524260580539703,0.039215686274509803,0.54301345976544368
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Disgust,0.098742552101612091,0.076923076923076927,0.51090973758926761
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Satisfaction,0.1206250786781311,0.019607843137254902,0.55050861777043814
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Calmness,0.09011087566614151,0.094339622641509441,0.49788562651231605
Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Realization,0.23163370788097382,0.025000000000000001,0.60331685394048695
